t,mode_code,mode_label,V,Tb,I,H,Q
0.000000,3,bearing_overheat,4.539339,57.937671,604.103343,6.770667,19932.725854
0.200000,3,bearing_overheat,4.333077,57.895027,601.974579,6.700384,19961.359924
0.400000,3,bearing_overheat,4.430899,57.798583,602.646784,6.793245,19952.961373
0.600000,3,bearing_overheat,4.460076,58.035245,604.651815,6.764356,19978.948535
0.800000,3,bearing_overheat,4.421948,58.141503,599.741993,6.734036,20017.967116
1.000000,3,bearing_overheat,4.616913,57.875682,601.448190,6.742881,20069.738785
1.200000,3,bearing_overheat,4.803957,57.970400,603.407680,6.751710,19988.545877
1.400000,3,bearing_overheat,4.543844,58.025477,603.883996,6.774133,20023.487618
1.600000,3,bearing_overheat,4.583319,58.215410,607.696444,6.753742,19971.020431
1.800000,3,bearing_overheat,4.686600,57.902438,603.663029,6.808791,20056.666685
2.000000,3,bearing_overheat,4.526388,58.238809,606.172709,6.696285,19987.593833
2.200000,3,bearing_overheat,4.533628,57.984631,610.386435,6.749185,20031.040980
2.400000,3,bearing_overheat,4.638985,58.001934,604.307556,6.752752,19963.166366
2.600000,3,bearing_overheat,4.481756,57.909597,603.874749,6.726951,19956.925088
2.800000,3,bearing_overheat,4.756222,58.116353,605.330601,6.732387,20023.169065
3.000000,3,bearing_overheat,4.408774,58.286843,603.940968,6.708811,20017.252359
3.200000,3,bearing_overheat,4.609130,58.144803,602.386218,6.698291,19983.324770
3.400000,3,bearing_overheat,4.461238,58.074983,601.469884,6.697245,19971.004218
3.600000,3,bearing_overheat,4.280933,58.052573,606.503154,6.734887,19981.690706
3.800000,3,bearing_overheat,4.623803,57.600727,604.684747,6.737284,20005.875552
4.000000,3,bearing_overheat,4.274564,57.616881,602.575595,6.785163,20029.616280
4.200000,3,bearing_overheat,4.372325,58.270195,610.531392,6.785735,20065.750990
4.400000,3,bearing_overheat,4.445990,58.039314,604.899614,6.769316,20053.533348
4.600000,3,bearing_overheat,4.785434,58.006403,600.152619,6.800371,20013.328163
4.800000,3,bearing_overheat,4.331776,57.883841,604.109568,6.777025,20022.793778
5.000000,3,bearing_overheat,4.733695,58.206449,604.712069,6.705087,19991.758269
5.200000,3,bearing_overheat,4.393249,58.280313,604.199922,6.731325,19986.639588
5.400000,3,bearing_overheat,4.651043,57.943101,606.554641,6.724935,20020.971022
5.600000,3,bearing_overheat,4.506945,57.861319,604.280188,6.750585,19964.797382
5.800000,3,bearing_overheat,4.395743,58.237076,606.600252,6.742929,20019.692672
6.000000,3,bearing_overheat,4.691581,57.714140,603.301549,6.742352,20056.071867
