t,mode_code,mode_label,V,Tb,I,H,Q
0.000000,2,high_vibration,4.476917,57.870963,605.145817,6.785195,19997.183925
0.200000,2,high_vibration,4.488861,58.015040,600.241245,6.748495,20088.660651
0.400000,2,high_vibration,4.296494,58.051701,604.981940,6.786190,19983.374186
0.600000,2,high_vibration,4.387555,58.200850,600.116727,6.711875,20018.871513
0.800000,2,high_vibration,4.258284,57.970468,605.361195,6.710958,20076.261360
1.000000,2,high_vibration,4.591589,58.340457,606.355395,6.752264,20005.696869
1.200000,2,high_vibration,4.305384,57.600947,600.365345,6.756003,19992.669067
1.400000,2,high_vibration,4.347012,58.232717,601.777697,6.760976,19996.058058
1.600000,2,high_vibration,4.445744,58.160366,604.465187,6.769166,19967.593543
1.800000,2,high_vibration,4.607949,57.748455,607.312186,6.659041,20016.231597
2.000000,2,high_vibration,4.289036,57.756083,608.656400,6.742201,19961.992219
2.200000,2,high_vibration,4.680117,58.215265,606.542536,6.741556,20093.538347
2.400000,2,high_vibration,4.333767,58.135142,603.236681,6.707193,19925.773169
2.600000,2,high_vibration,4.563435,57.899034,606.409700,6.724817,20050.700449
2.800000,2,high_vibration,4.311210,57.789163,608.159174,6.755931,20036.244168
3.000000,2,high_vibration,4.869646,58.444469,607.112578,6.789167,19990.253155
3.200000,2,high_vibration,4.311193,58.246390,610.821421,6.673861,20007.390434
3.400000,2,high_vibration,4.437533,58.045369,605.265766,6.809972,19975.267756
3.600000,2,high_vibration,4.523759,57.860981,602.140810,6.716726,20046.674145
3.800000,2,high_vibration,4.672382,58.177870,603.640574,6.742475,19983.246253
4.000000,2,high_vibration,4.435105,58.014679,601.174334,6.733488,19982.478802
4.200000,2,high_vibration,4.462086,57.827863,605.686313,6.734107,19938.459151
4.400000,2,high_vibration,4.719043,57.717194,607.727035,6.689826,19907.162010
4.600000,2,high_vibration,4.511509,57.776953,603.026049,6.732171,19991.851667
4.800000,2,high_vibration,4.372017,57.831236,607.301334,6.710275,19982.553657
5.000000,2,high_vibration,4.590838,57.992853,605.019988,6.797942,19946.195625
