t,mode_code,mode_label,V,Tb,I,H,Q
0.000000,5,motor_overload,4.374366,57.757262,605.052661,6.773542,20052.320964
0.200000,5,motor_overload,4.789267,58.090724,601.483414,6.765816,19997.794864
0.400000,5,motor_overload,4.546768,57.906974,604.089896,6.817745,19968.699214
0.600000,5,motor_overload,4.592591,57.845649,605.592861,6.776815,20014.144415
0.800000,5,motor_overload,4.617841,58.082661,606.632797,6.746229,20057.587402
1.000000,5,motor_overload,4.536374,58.218085,605.826994,6.813792,20045.129111
1.200000,5,motor_overload,4.337725,58.213408,604.972659,6.790616,19970.298461
1.400000,5,motor_overload,4.350388,58.288350,600.941648,6.757271,19964.118576
1.600000,5,motor_overload,4.789251,58.140213,604.880388,6.731620,20021.383074
1.800000,5,motor_overload,4.382094,58.002096,607.850725,6.751353,19928.088716
2.000000,5,motor_overload,4.248071,57.840371,605.672946,6.745887,19955.677455
2.200000,5,motor_overload,4.428384,57.976585,602.819206,6.728239,19970.132350
2.400000,5,motor_overload,4.485321,57.878694,604.021599,6.786415,19981.670292
2.600000,5,motor_overload,4.566024,58.076576,605.621269,6.807639,19965.908232
2.800000,5,motor_overload,4.527262,57.877057,607.532633,6.766712,20028.648175
3.000000,5,motor_overload,4.413896,58.316549,603.772050,6.709190,19925.140160
3.200000,5,motor_overload,4.276747,58.152362,604.789859,6.732925,20023.395976
3.400000,5,motor_overload,4.513765,57.661387,604.230644,6.802303,19919.948554
3.600000,5,motor_overload,4.423273,58.050746,604.736649,6.787743,19961.599519
3.800000,5,motor_overload,4.380336,57.613498,606.839603,6.699996,20020.616881
4.000000,5,motor_overload,4.293559,58.103854,599.854647,6.826458,19932.340251
4.200000,5,motor_overload,4.459303,58.019271,603.123023,6.697933,19961.777471
4.400000,5,motor_overload,4.519172,57.981449,605.877016,6.712322,20087.755300
4.600000,5,motor_overload,4.392324,58.198623,607.464288,6.801102,20030.580366
4.800000,5,motor_overload,4.444465,57.897696,605.327475,6.731385,19946.758937
5.000000,5,motor_overload,4.329264,57.981835,600.665904,6.762332,19944.758800
5.200000,5,motor_overload,4.521415,58.061709,604.960734,6.703358,20017.322906
5.400000,5,motor_overload,4.481847,57.612106,602.598416,6.687603,19990.389948
5.600000,5,motor_overload,4.318297,58.026548,608.818009,6.761552,19948.055467
5.800000,5,motor_overload,4.423939,57.824783,604.686283,6.745689,20018.303451
6.000000,5,motor_overload,4.523741,57.857741,612.342486,6.784408,19995.521272
6.200000,5,motor_overload,4.333413,57.941177,605.839286,6.775331,20072.501500
6.400000,5,motor_overload,4.577871,58.058122,600.584212,6.766198,19981.796351
6.600000,5,motor_overload,4.547952,58.320400,607.309997,6.775140,19945.670790
6.800000,5,motor_overload,4.407657,58.042179,605.804760,6.753844,20055.345682
7.000000,5,motor_overload,4.418048,58.029156,602.508047,6.717827,19983.076894
7.200000,5,motor_overload,4.451788,58.080131,599.485162,6.792058,19965.533357
7.400000,5,motor_overload,4.461967,58.125468,602.494019,6.736752,19946.766590
7.600000,5,motor_overload,4.700448,57.906517,605.489336,6.826704,19990.215428
7.800000,5,motor_overload,4.404420,57.804134,602.857599,6.842577,19983.655513
