t,mode_code,mode_label,V,Tb,I,H,Q
0.000000,1,normal,4.490653,58.060673,600.339064,6.756163,19993.675909
0.200000,1,normal,4.484955,57.868769,602.452362,6.729280,20030.900875
0.400000,1,normal,4.599825,57.724617,608.320815,6.682384,20065.964727
0.600000,1,normal,4.689974,58.306368,602.619773,6.728818,20047.282154
0.800000,1,normal,4.447856,58.007920,606.671481,6.758458,20003.219023
1.000000,1,normal,4.522243,58.285008,607.285541,6.781722,19980.480766
1.200000,1,normal,4.470632,57.759656,608.590183,6.764098,19968.229548
1.400000,1,normal,4.650764,58.085720,602.928987,6.777897,19939.002206
1.600000,1,normal,4.735719,58.306641,605.740430,6.741037,19953.167613
1.800000,1,normal,4.531899,58.089073,603.641253,6.752138,20040.954172
2.000000,1,normal,4.532752,57.958952,611.755610,6.714223,20041.406300
2.200000,1,normal,4.575725,58.205647,606.557706,6.746897,19979.915030
2.400000,1,normal,4.348910,57.768968,601.527537,6.744581,19951.147862
2.600000,1,normal,4.308619,57.989077,605.528793,6.829356,20000.091273
2.800000,1,normal,4.258078,58.141309,600.271401,6.783516,20038.563006
3.000000,1,normal,4.268359,57.756973,600.980731,6.777652,19973.547481
3.200000,1,normal,4.462725,58.225700,602.899019,6.751244,20049.571442
3.400000,1,normal,4.426161,57.986255,604.665520,6.742139,20048.678369
3.600000,1,normal,4.542642,58.105677,610.682152,6.784896,19953.083866
3.800000,1,normal,4.641410,58.044636,606.440100,6.753264,20018.201949
4.000000,1,normal,4.477329,58.277464,608.916671,6.739317,20000.358432
4.200000,1,normal,4.646071,57.851787,604.059175,6.757296,20016.672515
4.400000,1,normal,4.408035,58.089511,606.157774,6.749283,20069.563046
4.600000,1,normal,4.190298,57.817317,605.298736,6.753303,19907.747891
4.800000,1,normal,4.441394,58.274115,601.997262,6.753573,20002.853572
5.000000,1,normal,4.498258,58.020252,602.024303,6.735837,20008.836995
5.200000,1,normal,4.550077,58.282672,603.657329,6.733435,20047.179806
5.400000,1,normal,4.530337,58.057319,599.782620,6.729715,19969.003627
5.600000,1,normal,4.388236,57.565729,604.052895,6.727130,20013.915029
5.800000,1,normal,4.517452,57.736405,605.233413,6.759882,20064.362804
6.000000,1,normal,4.413820,58.102254,607.607293,6.768716,20030.037767
6.200000,1,normal,4.560207,57.584853,606.615901,6.719898,20021.978469
6.400000,1,normal,4.671006,57.994313,610.339023,6.735627,20036.073610
6.600000,1,normal,4.605900,58.044687,602.647665,6.707992,19966.173569
6.800000,1,normal,4.791076,58.080079,597.122951,6.759657,20008.902953
7.000000,1,normal,4.456572,58.025465,606.274469,6.821016,20026.647912
7.200000,1,normal,4.529915,57.916556,602.021433,6.770933,19936.350720
7.400000,1,normal,4.541129,57.729764,607.914607,6.757951,19999.072097
7.600000,1,normal,4.304345,58.004123,608.853209,6.692455,19992.797145
7.800000,1,normal,4.463230,57.808922,609.503515,6.741745,20053.986165
8.000000,1,normal,4.446671,57.891732,606.930435,6.785294,20049.184738
8.200000,1,normal,4.402799,58.138343,601.150873,6.720690,20054.612501
